name,other_names,borough,longitude,latitude,status,year_opened,period_opened,altered,period_destroyed,first_list_appearence,brief_history,history_link
Red Cross Garden,,Southwark,51.50311,-0.09459,Open,1888,1875-1899,Unchanged,n/a,1905,"Red Cross Garden formed part of Octavia Hill's pioneering social housing scheme here, which consisted of two rows of cottages and a community hall, designed by Elijah Hoole. The garden predated the buildings and was laid out in 1887, the opening ceremony taking place in 1888. It was created to provide 'an open air sitting room for the tired inhabitants of Southwark' and had an elaborate layout of curved lawns, flower beds and serpentine paths, an ornamental pond with fountain, bandstand and covered children's play area. There were once two mosaics in the garden, that depicting 'The Sower' remains, restored in 1956 and again in 2005. During WWII the railings were removed for the war effort and the caretaker dismissed, and by 1948 the layout of the garden had disappeared. Sir Sidney Cockerell writing to The Times of his visit in July 1948 found 'a desolate flat space part of it newly asphalted'. The garden appears treeless in a photograph of 1965, although some trees were subsequently planted. It was not until 2005 that it was restored to much of its original layout through the work of Bankside Open Spaces Trust with support by local people and funding from HLF and Southwark Council. It reflects its Victorian origins as a community garden and combines C19th and ecological planting.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU074
Sayes Court Park,,Lewisham,51.48482,-0.03010,Open,1878,1875-1899,Shrank,n/a,1905,"Sayes Court Park is on part of the former grounds of Sayes Court, a property that was once was within the King’s estates in Greenwich. From the mid-C17th it was the home of the diarist John Evelyn who laid out fine gardens here. After he moved to Surrey, Evelyn let Sayes Court, including for a short time to Peter the Great of Russia in 1698, who was studying ship building at the Royal Dockyard nearby. The mansion was demolished in 1729 and a workhouse built on the site, later converted as almshouses by a descendent of Evelyn. In 1878 he laid out part of the land as a recreation ground initially for his tenants, but later a park of 1.5 acres was opened as a public facility. Requisitioned during WWII, the park was later re-landscaped by the LCC and opened in 1952.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=LEW049
St. George's Churchyard (Borough High Street),,Southwark,51.50139,-0.09259,Open,1853,1850-1874,Shrank,n/a,1905,"There has been a church on the site since the C12th although the present church of St George the Martyr dates from the C18th. It is often referred to as 'Little Dorrit’s Church' because Charles Dickens’ character was baptised and married here. In 1816 the small churchyard was enlarged by Act of Parliament but it was eventually closed for burials in 1853 and was converted into a public garden in 1882. When Tabard Street was extended to Borough High Street, part of the churchyard was lost, and the detached portion was re-opened as public gardens in 1902, now called St George's Garden. The north boundary wall originally formed the southern boundary of Marshalsea Prison, where Dickens' father was incarcerated. The garden has been re-landscaped and has a number of gravestones in one corner.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU077
St. George's Garden (Borough High Street),,Southwark,51.50149,-0.09169,Open,1902,1900-1924,Expanded,n/a,1905,"There has been a church on the site since the C12th although the present church of St George the Martyr dates from the C18th. It is often referred to as 'Little Dorrit’s Church' because Charles Dickens’ character was baptised and married here. In 1816 the small churchyard was enlarged by Act of Parliament but it was eventually closed for burials in 1853 and was converted into a public garden in 1882. When Tabard Street was extended to Borough High Street, part of the churchyard was lost, and the detached portion was re-opened as public gardens in 1902, now called St George's Garden. The north boundary wall originally formed the southern boundary of Marshalsea Prison, where Dickens' father was incarcerated. The garden has been re-landscaped and has a number of gravestones in one corner.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU077
St. John's Churchyard ,,Southwark,51.50219,-0.07875,Open,1882,1875-1899,Unchanged,n/a,1905,"St John Horselydown was an early C18th church designed by Nicholas Hawksmoor and John James, a prominent local landmark until it was bombed in WWII. It was replaced by a new building in 1976, now London City Mission, which rises out of the remains of the old walls. The churchyard was in use until 1853. Adjoining it was a paupers' burial ground of St Olave's, now part of Potters Fields Park. St John's churchyard was laid out as public gardens in 1882. The C18th Watch House is within the garden, and C18th Vicarage is just outside.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU080
St. Mary Magdalene Churchyard ,,Southwark,51.49817,-0.08043,Open,<1850,<1850,Unchanged,n/a,1905,"The parish of Saint Mary Magdalene is the ancient parish of Bermondsey. The parish church was probably founded by a local monastery. It remained the only parish in the area until 1840, when the parish of Saint James was established in response to the growing population of Bermondsey. Christ Church, Saint Paul, Saint Anne, Saint Crispin, Saint Augustine and Saint Luke all followed between 1845 and 1885. The medieval church building was rebuilt in the seventeenth century, and later added to and restored, particularly in 1883.",https://search.lma.gov.uk/scripts/mwimain.dll/144/LMA_OPAC/web_detail/REFD+P71~2FMMG?SESSIONSEARCH
St. Mary's Churchyard (Newington),,Southwark,51.48893,-0.10477,Open,1879,1875-1899,Expanded,n/a,1905,,
St. Paul's Churchyard (Rotherhithe),,Southwark,51.50611,-0.04239,Defunct,1855,1850-1874,Closed,n/a,1905,"The Anglican St Paul's Chapel, a chapel-of-ease to St Mary's Rotherhithe, was built in 1855 by  William Beatson and was badly damaged in the Second World War, perhaps destroyed.  There is some confusion about when it was finally demolished, but although it seems to have been decommissioned in 1955 records indicate that some part of it was in use on the site until the 1970s.

St Paul's was located at Ram Alley, later Beatson Street, close to Surrey Canal School which later became St Pauls School. Today it is the site of Peter Hills with St Mary and St Paul School.",https://russiadock.blogspot.com/2013/05/the-st-pauls-chapel-destroyed.html
St. Phillip's Churchyard (Camberwell),,Southwark,51.48661,-0.06964,Open,1876,1875-1899,Expanded,n/a,1905,"The church was built in 1876, consisting of a half-octagonal chancel with north organ chamber and south vestry, together with a nave, transept and aisle. The church was constructed of Kentish ragstone and designed in a medieval style. It was rebuilt in 1962. The parish was united with St. Mark, Cobourg Road in 1965.",https://search.lma.gov.uk/scripts/mwimain.dll/144/LMA_OPAC/web_detail/REFD+P73~2FPHI?SESSIONSEARCH
Southwark Park,,Southwark,51.49476,-0.05554,Open,1869,1850-1874,Expanded,n/a,1905,"Prior to becoming a public park, the site was used for market gardening and was owned by the Lord of Rotherhithe Manor. Pressure for a public park in the area began in the 1850s and in 1857 the new Metropolitan Board of Works was persuaded that Bermondsey and Rotherhithe, as well as Finsbury, were most in need and a site was approved. Southwark Park was laid out by the MBW and opened on 19 June 1869. The original layout had a wide carriage drive around the perimeter, part of which survives; various facilities were added by 1885, including a new lake and a bandstand, and in the early C20th a lido and the Ada Salter Rose Garden were among the new facilities. Rundown in the latter C20th, it was very well restored by 2001 with HLF funding, the works including a replica bandstand and bowling pavilion, and the lake restored to its original pre-WWII size and the main gates repaired. Other facilities include a cafe, visitor’s centre, art gallery, sports track and wildlife area.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU088
Potters Field Park,Tooley Street Garden,Southwark,51.50361,-0.07934,Open,1888,1875-1899,Expanded,n/a,1905,"Potters Fields Park is on a site that includes the former burial ground of St Olave's Church to the south, converted into a recreation ground in the late C19th, and riverside wharves and warehouses near the foot of Tower Bridge. When the riverside area became derelict, an ecology park was created here in 1977, remaining until 1985. The park combining these two areas was laid out in 1988 and opened as Potters Fields Park, recalling the pottery works that had existed here in the C17th. The park was re-designed in 2007

When it first opened as a recreation ground in the late C19th, the park was known as The Tooley Street Garden, but it was re-named Potters Fields Park in 2006.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU072
Nursery Row Park,East Street Recreation Ground/ Walworth Recreation Ground,Southwark,51.48988,-0.09032,Open,1885,1875-1899,Expanded,n/a,1905,"The southern portion of today's Nursery Row Park was laid out sometime between 1885-97, to provide open space for the growing local population. Known as East Street Recreation Ground, the park lay between Blendon Row and Orb Street. The MPGA assisted with funding for the layout and planting, which included perimeter plane trees that still survive today. In 1980 the park was extended to the north following slum clearance that saw demolition of streets including Nursery Row, after which the park was renamed",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU064a
Faraday Gardens,,Southwark,51.48718,-0.09098,Open,,,Expanded,n/a,1921,,
Little Dorrit Park,,Southwark,51.50220,-0.09368,Open,1902,1900-1924,Expanded,n/a,1921,"So-called after Little Dorrit, the Dickens character who was associated with nearby Marshalsea Prison, the site had previously been Falcon Court, 'a horrible rookery of tumble-down dirty hovels'. It was created as a children's playground by the LCC's Parks and Open Spaces Committee, and was opened in 1902 by the LCC Councillor for Rotherhithe, Mr A Pomeroy-Cragg, at a ceremony accompanied by music from the North London Prize Band. Improvement works were carried out in 2001 by Little Dorrit Park Group, set up by group of local mothers including artist Danuta Solowig Wedderburn who created bronze plaques. Works included playground improvements and landscaping and the park is supported by Bankside Open Spaces Trust (BOST).",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU051
Nelson Square Gardens,,Southwark,51.50296,-0.10317,Open,1904,1900-1924,Unchanged,n/a,1921,"Nelson Square Gardens was originally for the use of residents of Nelson Square. In 1903 the owner, Viscount Halifax, gave the site to the LCC and it was laid out as a rectangular playground, with flower bed in the centre and shrub and privet hedge around the perimeter. It opened to the public in February 1904. There was formerly a bandstand and ornamental drinking fountain presented by the MPGA. The garden has 6 mature plane trees but is now mainly laid out as a tarmac playground, alongside which is a small rose garden with ornamental planting.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU061
Alfred Salter Playground,Coxon's Place/ Butler's Burial Ground,Southwark,51.50078,-0.07665,Open,1921,1900-1924,Unchanged,n/a,1921,,
Pearson Park,,Southwark,51.50389,-0.03436,Open,1901,1900-1924,Unchanged,n/a,1921,,
St. Mary's Churchyard Garden (Rotherhithe),,Southwark,51.50071,-0.05415,Open,1901,1900-1924,Unchanged,n/a,1921,"There has been a church here since at least the C10th, the present church of St Mary's Rotherhithe dating from the early C18th. Rotherhithe had strong maritime connections, with many seafarers among its parishioners. In 1620 The Mayflower sailed from here to pick up the Pilgrim Fathers, and three of its four part-owners were buried in Rotherhithe churchyard. An unusual memorial in the churchyard is that of Prince Lee Boo (d.1784), the son of the King of the Belau Islands, whose monument was erected by the East India Company. The churchyard immediately adjacent to the church was opened to the public in 1909, while the main part of the churchyard had been opened as a public garden in 1901, now called St Mary's Churchyard Gardens.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU083
Addington Square Gardens (Burgess Park),,Southwark,51.48099,-0.09224,Open,<1850,<1850,Expanded,n/a,1921,"Addington Square Garden is now a part of Burgess Park. Addington Square was built between 1810 and 1850, when the area was still mostly fields and market gardens, and became home to the well-to-do escaping densely populated central London. It had a canal and two swimming baths by 1840….
The square forms part of the earliest housing to be developed in the park area, dating from the beginning of the 19th century. The square was laid out some time between 1800 and 1810. The fourth, northern, side of the square was home to one of south London’s first swimming baths, which opened in 1820. Another outdoor pool opened a few years later, also on the canal bank, behind the houses on the east side of the square…
At the peak of the squares decline, in the 1960s, South London gangsters the Richardson brothers, Charlie and Eddie, established Peckford scrap merchants in nearby New Church Road, and a base in the square, at number 33. They later spent a lot of time in gaol, and their exploits have been documented in books, films and an art show in the square.
The council refuse depot on the north side later formed the basis of the first piece of recreational land in the area, which was eventually to become Burgess Park.","https://bridgetonowhere.friendsofburgesspark.org.uk/the-story-of-burgess-park-heritage-trail/heritage-trail-a-l/addington-square/#:~:text=Addington Square was built between,was born at number 13."
Warwick Gardens,Azenby Road Playground,Southwark,51.46950,-0.07548,Open,1910,1900-1924,Expanded,n/a,1921,"A triangle of land of 0.13 hectares at Azenby Road at the western part of the present Warwick Gardens was acquired by Camberwell Borough Council in 1910 for £600, with a contribution from the LCC of £388. It was opened the same year as Azenby Road Playground, and maintained by Camberwell Borough Council as an open playground. It has since been expanded to the present Warwick Gardens, which was laid out post WWII.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU098
Brunswick Park,,Southwark,51.47587,-0.08608,Open,1907,1900-1924,Expanded,n/a,1921,"Development of meadowland here took place from 1847, when Brunswick Square was laid out with an area of private communal garden in the centre. It was named after King George IV's marriage to Caroline, daughter of the Duke of Brunswick. In 1901 Camberwell Borough Council purchased the garden, then divided by a roadway, for a public park, which opened in 1907. Tennis courts and a playground were opened in 1937, and a drinking fountain was donated. The park was refurbished by LB Southwark in 1997-99.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU011
Sydenham Hill Wood and Cox's Walk,,Southwark,51.43834,-0.06663,Open,1898,1875-1899,Unchanged,n/a,1921,"Sydenham Hill Wood and Dulwich Woods to the west are survivors of the Great North Wood, which once covered large tracts of land here, a chain of oak woods and wooded commons that extended from Selhurst to Brockley. After 1787 Dulwich tenants lost their common rights following the Enclosure Acts, although the woods survived until the development of Crystal Palace following the Great Exhibition, which led to housing development. The steep slope of woodland running west from Sydenham Hill became the gardens of several Victorian houses, since demolished, their gardens are now back within the woodland. Although the gardens have disappeared, evidence remains in the form of exotic garden trees, and fragments of built features. Also within the woods is the disused railway track of the Crystal Palace High Level Railway.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU093
Friary Street Playground,Downes Street Playground,Southwark,51.48081,-0.06553,Open,1910,1900-1924,Expanded,n/a,1921,,
Dulwich Library Ground,,Southwark,51.44871,-0.07490,Open,1897,1875-1899,Unchanged,n/a,1921,"Dulwich Library is a John Passmore Edwards Library, built as a memorial to Edward Alleyn, the Elizabethan actor and founder of Alleyn's School and Dulwich College. The architect was Charles Barry and Son and the site was donated by Dulwich College. The foundation stone was laid by the famous actor Sir Henry Irving on 24 September 1896 and the library was declared open by Lord Chancellor Halsbury on the 24 November 1897.

The building probably originally operated on a closed access system where books could be selected from a catalogue and retrieved by staff for viewing. The original single-storey wing to the west of the main entrance was rebuilt in about 1950 following bomb damage in 1940 or 1941.

The building was refurbished in 2013.",https://historicengland.org.uk/listing/the-list/list-entry/1430885?section=official-list-entry
Leyton Square Garden,,Southwark,51.48141,-0.06760,Open,1901,1900-1924,Expanded,n/a,1921,"Leyton Square was opened to the public in 1901, after Camberwell Borough Council purchased the land in 1899 for £3,000, of which £1,500 was provided by the LCC, plus £683 for half the paving expenses. The garden has since been reconfigured, and is now within a more recent housing estate. Laid out on slightly undulating ground, it is largely laid to grass with recreation facilities, paths and seating. There are scattered trees including lines of older plane trees, presumably marking the original perimeter.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU050
One Tree Hill ,,Southwark,51.45132,-0.05191,Open,1905,1900-1924,Unchanged,n/a,1921,"One Tree Hill has a long history and connections with significant events, its height exploited for both defence and commercial purposes. It was named after the Oak of Honor that marked the boundary of lands belonging to the Honour of Gloucester. The most famous story in its history is that Elizabeth I rested under an oak at the summit in 1602, and the third successive specimen planted in 1905 remains today. In 1896 the hill was enclosed when the adjacent Golf Club rented the land, but following an active local protest it was eventually opened as a public park in 1905, the LCC General Powers Bill of 1902 having enabled Camberwell Borough Council to compulsorily purchase the land as public open space.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU067
Holly Grove Shrubbery,South Grove Shrubbery,Southwark,51.47011,-0.07111,Open,1897,1875-1899,Expanded,n/a,1921,"Holly Grove Shrubbery is a Victorian shrubbery with a serpentine boundary with a footpath winding through it, of some 250 yards in length. The shrubbery adjoins the nearby listed houses in Holly Grove built between 1816 and 1822, fronted by cast iron railings. The land between South Grove and the rear of houses in Elm Grove was purchased by Camberwell Borough Council in 1896 for £966, which represented paving charges from which the owners were released, and the land was laid out as a shrubbery with the pathway along its length and opened to the public in 1897. It was extended In 1902 when further land was purchased for £350.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU039
Sumner Road Recreation Ground (Burgress Park),,Southwark,51.48308,-0.07371,Open,1900,1900-1924,Expanded,n/a,1921,"Burgess Park was created by demolishing numerous houses, streets, churches and factories such as Robert White's famous lemonade factory, and by infilling the disused Grand Surrey Canal. At that time there were a number of green spaces already in existence and the LCC General Powers Act of 1952 contained provision for these to be transferred from the Metropolitan Borough of Camberwell to the LCC for incorporation into the North Camberwell Open Space including Sumner Road Recreation Ground, which had opened in 1900.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU012
Bramcote Park,Varcoe Road Recreation Ground,Southwark,51.48550,-0.05632,Open,1906,1900-1924,Expanded,n/a,1921,"The site was purchased by Camberwell Borough Council in 1905 for a sum of £2,000 and Varcoe Road Recreation Ground was opened to the public in 1906. It is protected by the London Squares and Enclosures (Preservation) Act of 1906. Now privately owned, it is a scrubby area with grass, paths and some trees.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU097
Buckenham Square Garden,,Southwark,51.49477,-0.08722,Defunct,1906,1900-1924,Closed,Uncertain,1921,By drawing comparisons between an Ordnance Survey map dated 1944-1972 with Open Street Maps (2024) we were able to determine that Buckenham Square has been incorporated into St Saviour's and St Olave's Church of England School and as such no longer exists or the land that it stood on is no longer accessible to the public.,
Marlborough Sports Garden,,Southwark,51.50310,-0.09287,Open,1921,1900-1924,Expanded,n/a,1921,"The history of the Marlborough Sports Garden owes its existence to Consuelo Vanderbilt Balsan, Duchess of Marlborough, who decreed that “Surplus land from an insanitary area between Borough High Street and Red Cross Street should be used as a recreation ground”. The park was opened in 1921.",https://www.bost.org.uk/marlborough-sports-garden
Paragon Garden,,Southwark,51.49383, -0.08783,Open,1921,1900-1924,Expanded,n/a,1921,"This was originally the communal garden of The Paragon, a late C18th crescent. When the houses were demolished and replaced by a Board School the garden survived and was purchased by the Vestry of St George the Martyr. It was laid out as public garden by the MPGA and once had a bandstand. Part of the site was later lost as a result of road schemes when the Bricklayers Arms Flyover was built in 1970 although a strip of land was added to the west as compensation and planted with shrubs. Improvements have been carried out since 2009 as part of wider improvements to the Salisbury Row neighbourhood.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU068
St. Peter's Churchyard,,Southwark,51.48646,-0.09299,Open,1895,1875-1899,Unchanged,n/a,1921,"The old churchyard was laid out by the MPGA with grass and seats, the headstones largely placed around the edge of the garden. Father Horsley also established a small zoo on the rectory garden, nicknamed the Monkey Park, which was landscaped as a community garden with the participation of the local community, a new bench sculpture unveiled in 2005.",https://www.parksandgardens.org/places/st-peters-churchyard-walworth
Sutherland Square Gardens,,Southwark,51.48559,-0.09733,Open,1923,1900-1924,Unchanged,n/a,1921,,
West Square Garden,,Southwark,51.49518,-0.10551,Open,1910,1900-1924,Expanded,n/a,1921,"The land that became West Square was first leased out in 1791 by the owners, the Temple West family, from whom the square gets its name, the terraces were built by 1794 with a garden laid out by 1799. When the Bethlehem Royal Hospital moved to St George's Fields, its senior hospital staff needed accommodation nearby and West Square was laid out with terraces surrounding the garden. By 1813 it appears to have had a formal layout but it was much simplified by 1870. Threatened with development in the late C19th, the garden was saved for public open space by the MPGA in 1909, and laid out by their landscape gardener Madeline Agar. The cruciform layout was restored and the garden opened to the public in 1910. In the centre is a rose garden with sundial; a tree was planted here on 14 September 1991 to celebrate the bicentenary of West Square. The garden at one point had 4 black mulberries.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU099&sitename=West+Square+Gardens
Burgess Park,"Sumner Road Recreation Ground, Addington Square Gardens",Southwark,51.48330,-0.08213,Open,1995,1975-1999,Expanded,n/a,n/a,"Work began after WWII to provide the new public space that eventually became Burgess Park. It was the result of initiatives such as the Abercrombie Plan of 1943 and was created by demolishing numerous houses, streets, churches and factories, and infilling the disused Grand Surrey Canal. Existing green spaces were incorporated into the new North Camberwell Open Space, which by 1965 covered c.16 hectares. It was named Burgess Park in 1973 after Alderman Jessie Burgess, first lady Mayor of Camberwell. The fragmented open spaces were consolidated from 1982 onwards and in 1985/6 Southwark Council took over responsibility and began purchasing remaining properties and clearing the site, a process completed in 1995. Numerous projects have been undertaken, including planting 1000s of trees, provision of sports facilities, greening the canal route and creation of the lake. Within the park are the former Chumleigh Gardens Almshouses, which now house a café, meeting rooms as well as a World Garden and an English Garden.

*Due to the complex evolutionary nature of the formation of Burgess Park, the London Parkive has chosen to depict Burgess Parks opening date as 1995, at the point at which its consolidation was completed. You can refer to the areas that were opened before this time by viewing the map through the Alterations View Mode.",https://londongardenstrust.org/conservation/inventory/site-record/?ID=SOU012
